Title,Summary,Published,Category
"Learning from Litigation: Graphs and LLMs for Retrieval and Reasoning in
  eDiscovery","  Electronic Discovery (eDiscovery) involves identifying relevant documents
from a vast collection based on legal production requests. The integration of
artificial intelligence (AI) and natural language processing (NLP) has
transformed this process, helping document review and enhance efficiency and
cost-effectiveness. Although traditional approaches like BM25 or fine-tuned
pre-trained models are common in eDiscovery, they face performance,
computational, and interpretability challenges. In contrast, Large Language
Model (LLM)-based methods prioritize interpretability but sacrifice performance
and throughput. This paper introduces DISCOvery Graph (DISCOG), a hybrid
approach that combines the strengths of two worlds: a heterogeneous graph-based
method for accurate document relevance prediction and subsequent LLM-driven
approach for reasoning. Graph representational learning generates embeddings
and predicts links, ranking the corpus for a given request, and the LLMs
provide reasoning for document relevance. Our approach handles datasets with
balanced and imbalanced distributions, outperforming baselines in F1-score,
precision, and recall by an average of 12%, 3%, and 16%, respectively. In an
enterprise context, our approach drastically reduces document review costs by
99.9% compared to manual processes and by 95% compared to LLM-based
classification methods
",2024-05-29 15:08:55+00:00,cs.AI
"Multi-stage Retrieve and Re-rank Model for Automatic Medical Coding
  Recommendation","  The International Classification of Diseases (ICD) serves as a definitive
medical classification system encompassing a wide range of diseases and
conditions. The primary objective of ICD indexing is to allocate a subset of
ICD codes to a medical record, which facilitates standardized documentation and
management of various health conditions. Most existing approaches have suffered
from selecting the proper label subsets from an extremely large ICD collection
with a heavy long-tailed label distribution. In this paper, we leverage a
multi-stage ``retrieve and re-rank'' framework as a novel solution to ICD
indexing, via a hybrid discrete retrieval method, and re-rank retrieved
candidates with contrastive learning that allows the model to make more
accurate predictions from a simplified label space. The retrieval model is a
hybrid of auxiliary knowledge of the electronic health records (EHR) and a
discrete retrieval method (BM25), which efficiently collects high-quality
candidates. In the last stage, we propose a label co-occurrence guided
contrastive re-ranking model, which re-ranks the candidate labels by pulling
together the clinical notes with positive ICD codes. Experimental results show
the proposed method achieves state-of-the-art performance on a number of
measures on the MIMIC-III benchmark.
",2024-05-29 13:54:30+00:00,cs.CL
"Visual Servoing Based on 3D Features: Design and Implementation for
  Robotic Insertion Tasks","  This paper proposes a feature-based Visual Servoing (VS) method for insertion
task skills. A camera mounted on the robot's end-effector provides the pose
relative to a cylinder (hole), allowing a contact-free and damage-free search
of the hole and avoiding uncertainties emerging when the pose is computed via
robot kinematics. Two points located on the hole's principal axis and three
mutually orthogonal planes defining the flange's reference frame are associated
with the pose of the hole and the flange, respectively. The proposed VS drives
to zero the distance between the two points and the three planes aligning the
robot's flange with the hole's direction. Compared with conventional VS where
the Jacobian is difficult to compute in practice, the proposed featured-based
uses a Jacobian easily calculated from the measured hole pose. Furthermore, the
feature-based VS design considers the robot's maximum cartesian velocity. The
VS method is implemented in an industrial robot and the experimental results
support its usefulness.
",2024-05-29 07:19:44+00:00,cs.RO
MultiADE: A Multi-domain Benchmark for Adverse Drug Event Extraction,"  Objective. Active adverse event surveillance monitors Adverse Drug Events
(ADE) from different data sources, such as electronic health records, medical
literature, social media and search engine logs. Over years, many datasets are
created, and shared tasks are organised to facilitate active adverse event
surveillance. However, most-if not all-datasets or shared tasks focus on
extracting ADEs from a particular type of text. Domain generalisation-the
ability of a machine learning model to perform well on new, unseen domains
(text types)-is under-explored. Given the rapid advancements in natural
language processing, one unanswered question is how far we are from having a
single ADE extraction model that are effective on various types of text, such
as scientific literature and social media posts}. Methods. We contribute to
answering this question by building a multi-domain benchmark for adverse drug
event extraction, which we named MultiADE. The new benchmark comprises several
existing datasets sampled from different text types and our newly created
dataset-CADECv2, which is an extension of CADEC (Karimi, et al., 2015),
covering online posts regarding more diverse drugs than CADEC. Our new dataset
is carefully annotated by human annotators following detailed annotation
guidelines. Conclusion. Our benchmark results show that the generalisation of
the trained models is far from perfect, making it infeasible to be deployed to
process different types of text. In addition, although intermediate transfer
learning is a promising approach to utilising existing resources, further
investigation is needed on methods of domain adaptation, particularly
cost-effective methods to select useful training instances.
",2024-05-28 09:57:28+00:00,cs.CL
EMERGE: Integrating RAG for Improved Multimodal EHR Predictive Modeling,"  The integration of multimodal Electronic Health Records (EHR) data has
notably advanced clinical predictive capabilities. However, current models that
utilize clinical notes and multivariate time-series EHR data often lack the
necessary medical context for precise clinical tasks. Previous methods using
knowledge graphs (KGs) primarily focus on structured knowledge extraction. To
address this, we propose EMERGE, a Retrieval-Augmented Generation (RAG) driven
framework aimed at enhancing multimodal EHR predictive modeling. Our approach
extracts entities from both time-series data and clinical notes by prompting
Large Language Models (LLMs) and aligns them with professional PrimeKG to
ensure consistency. Beyond triplet relationships, we include entities'
definitions and descriptions to provide richer semantics. The extracted
knowledge is then used to generate task-relevant summaries of patients' health
statuses. These summaries are fused with other modalities utilizing an adaptive
multimodal fusion network with cross-attention. Extensive experiments on the
MIMIC-III and MIMIC-IV datasets for in-hospital mortality and 30-day
readmission tasks demonstrate the superior performance of the EMERGE framework
compared to baseline models. Comprehensive ablation studies and analyses
underscore the efficacy of each designed module and the framework's robustness
to data sparsity. EMERGE significantly enhances the use of multimodal EHR data
in healthcare, bridging the gap with nuanced medical contexts crucial for
informed clinical predictions.
",2024-05-27 10:53:15+00:00,cs.CL
"TokenUnify: Scalable Autoregressive Visual Pre-training with Mixture
  Token Prediction","  Autoregressive next-token prediction is a standard pretraining method for
large-scale language models, but its application to vision tasks is hindered by
the non-sequential nature of image data, leading to cumulative errors. Most
vision models employ masked autoencoder (MAE) based pretraining, which faces
scalability issues. To address these challenges, we introduce
\textbf{TokenUnify}, a novel pretraining method that integrates random token
prediction, next-token prediction, and next-all token prediction. We provide
theoretical evidence demonstrating that TokenUnify mitigates cumulative errors
in visual autoregression. Cooperated with TokenUnify, we have assembled a
large-scale electron microscopy (EM) image dataset with ultra-high resolution,
ideal for creating spatially correlated long sequences. This dataset includes
over 120 million annotated voxels, making it the largest neuron segmentation
dataset to date and providing a unified benchmark for experimental validation.
Leveraging the Mamba network inherently suited for long-sequence modeling on
this dataset, TokenUnify not only reduces the computational complexity but also
leads to a significant 45\% improvement in segmentation performance on
downstream EM neuron segmentation tasks compared to existing methods.
Furthermore, TokenUnify demonstrates superior scalability over MAE and
traditional autoregressive methods, effectively bridging the gap between
pretraining strategies for language and vision models. Code is available at
\url{https://github.com/ydchen0806/TokenUnify}.
",2024-05-27 05:45:51+00:00,cs.CV
"Scalable Numerical Embeddings for Multivariate Time Series: Enhancing
  Healthcare Data Representation Learning","  Multivariate time series (MTS) data, when sampled irregularly and
asynchronously, often present extensive missing values. Conventional
methodologies for MTS analysis tend to rely on temporal embeddings based on
timestamps that necessitate subsequent imputations, yet these imputed values
frequently deviate substantially from their actual counterparts, thereby
compromising prediction accuracy. Furthermore, these methods typically fail to
provide robust initial embeddings for values infrequently observed or even
absent within the training set, posing significant challenges to model
generalizability. In response to these challenges, we propose SCAlable
Numerical Embedding (SCANE), a novel framework that treats each feature value
as an independent token, effectively bypassing the need for imputation. SCANE
regularizes the traits of distinct feature embeddings and enhances
representational learning through a scalable embedding mechanism. Coupling
SCANE with the Transformer Encoder architecture, we develop the Scalable
nUMerical eMbeddIng Transformer (SUMMIT), which is engineered to deliver
precise predictive outputs for MTS characterized by prevalent missing entries.
Our experimental validation, conducted across three disparate electronic health
record (EHR) datasets marked by elevated missing value frequencies, confirms
the superior performance of SUMMIT over contemporary state-of-the-art
approaches addressing similar challenges. These results substantiate the
efficacy of SCANE and SUMMIT, underscoring their potential applicability across
a broad spectrum of MTS data analytical tasks.
",2024-05-26 13:06:45+00:00,cs.LG
"Augmented Risk Prediction for the Onset of Alzheimer's Disease from
  Electronic Health Records with Large Language Models","  Alzheimer's disease (AD) is the fifth-leading cause of death among Americans
aged 65 and older. Screening and early detection of AD and related dementias
(ADRD) are critical for timely intervention and for identifying clinical trial
participants. The widespread adoption of electronic health records (EHRs)
offers an important resource for developing ADRD screening tools such as
machine learning based predictive models. Recent advancements in large language
models (LLMs) demonstrate their unprecedented capability of encoding knowledge
and performing reasoning, which offers them strong potential for enhancing risk
prediction. This paper proposes a novel pipeline that augments risk prediction
by leveraging the few-shot inference power of LLMs to make predictions on cases
where traditional supervised learning methods (SLs) may not excel.
Specifically, we develop a collaborative pipeline that combines SLs and LLMs
via a confidence-driven decision-making mechanism, leveraging the strengths of
SLs in clear-cut cases and LLMs in more complex scenarios. We evaluate this
pipeline using a real-world EHR data warehouse from Oregon Health \& Science
University (OHSU) Hospital, encompassing EHRs from over 2.5 million patients
and more than 20 million patient encounters. Our results show that our proposed
approach effectively combines the power of SLs and LLMs, offering significant
improvements in predictive performance. This advancement holds promise for
revolutionizing ADRD screening and early detection practices, with potential
implications for better strategies of patient management and thus improving
healthcare.
",2024-05-26 03:05:10+00:00,cs.AI
"Risk Factor Identification In Osteoporosis Using Unsupervised Machine
  Learning Techniques","  In this study, the reliability of identified risk factors associated with
osteoporosis is investigated using a new clustering-based method on electronic
medical records. This study proposes utilizing a new CLustering Iterations
Framework (CLIF) that includes an iterative clustering framework that can adapt
any of the following three components: clustering, feature selection, and
principal feature identification. The study proposes using Wasserstein distance
to identify principal features, borrowing concepts from the optimal transport
theory. The study also suggests using a combination of ANOVA and ablation tests
to select influential features from a data set. Some risk factors presented in
existing works are endorsed by our identified significant clusters, while the
reliability of some other risk factors is weakened.
",2024-05-24 18:53:28+00:00,cs.LG
"Enhancing Adverse Drug Event Detection with Multimodal Dataset: Corpus
  Creation and Model Development","  The mining of adverse drug events (ADEs) is pivotal in pharmacovigilance,
enhancing patient safety by identifying potential risks associated with
medications, facilitating early detection of adverse events, and guiding
regulatory decision-making. Traditional ADE detection methods are reliable but
slow, not easily adaptable to large-scale operations, and offer limited
information. With the exponential increase in data sources like social media
content, biomedical literature, and Electronic Medical Records (EMR),
extracting relevant ADE-related information from these unstructured texts is
imperative. Previous ADE mining studies have focused on text-based
methodologies, overlooking visual cues, limiting contextual comprehension, and
hindering accurate interpretation. To address this gap, we present a MultiModal
Adverse Drug Event (MMADE) detection dataset, merging ADE-related textual
information with visual aids. Additionally, we introduce a framework that
leverages the capabilities of LLMs and VLMs for ADE detection by generating
detailed descriptions of medical images depicting ADEs, aiding healthcare
professionals in visually identifying adverse events. Using our MMADE dataset,
we showcase the significance of integrating visual cues from images to enhance
overall performance. This approach holds promise for patient safety, ADE
awareness, and healthcare accessibility, paving the way for further exploration
in personalized healthcare.
",2024-05-24 17:58:42+00:00,cs.AI
"ChiBench: a Benchmark Suite for Testing Electronic Design Automation
  Tools","  Electronic Design Automation (EDA) tools are software applications used by
engineers in the design, development, simulation, and verification of
electronic systems and integrated circuits. These tools typically process
specifications written in a Hardware Description Language (HDL), such as
Verilog, SystemVerilog or VHDL. Thus, effective testing of these tools requires
benchmark suites written in these languages. However, while there exist some
open benchmark suites for these languages, they tend to consist of only a
handful of specifications. This paper, in contrast, presents ChiBench, a
comprehensive suite comprising 50 thousand Verilog programs. These programs
were sourced from GitHub repositories and curated using Verible's syntactic
analyzer and Jasper(TM)'s HDL semantic analyzer. Since its inception, ChiBench
has already revealed bugs in public tools like Verible's obfuscator and parser.
In addition to explaining some of these case studies, this paper demonstrates
how ChiBench can be used to evaluate the asymptotic complexity and code
coverage of typical electronic design automation tools.
",2024-05-24 17:45:09+00:00,cs.AR
"Design and fabrication of autonomous electronic lablets for chemical
  control","  Lablets are autonomous microscopic particles with programmable CMOS
electronics that canvcontrol electrokinetic phenomena and electrochemical
reactions in solution via actuator and sensor microelectrodes. The lablets are
designed to be rechargeable using an integrated supercapacitor, and to allow
docking to one another or to a smart surface for interchange of energy,
electronic information and chemicals. In this paper, we describe the design and
fabrication of singulated lablets (CMOS2) at the scale of 100 by 200 {\mu}m,
with the supercap adjacent to the functional lablet and occupying half the
space. In other works, we have characterized the supercap and described the
electronic design and proven functionality using arrays of these lablets. Here
we present fabrication details for integrating functional coatings and the
supercap and demonstrate electronic functionality of the lablets following
singulation.
",2024-05-24 14:47:59+00:00,cs.RO
"Heterogeneous virus classification using a functional deep learning
  model based on transmission electron microscopy images (Preprint)","  Viruses are submicroscopic agents that can infect all kinds of lifeforms and
use their hosts' living cells to replicate themselves. Despite having some of
the simplest genetic structures among all living beings, viruses are highly
adaptable, resilient, and given the right conditions, are capable of causing
unforeseen complications in their hosts' bodies. Due to their multiple
transmission pathways, high contagion rate, and lethality, viruses are the
biggest biological threat faced by animal and plant species. It is often
challenging to promptly detect the presence of a virus in a possible host's
body and accurately determine its type using manual examination techniques;
however, it can be done using computer-based automatic diagnosis methods. Most
notably, the analysis of Transmission Electron Microscopy (TEM) images has been
proven to be quite successful in instant virus identification. Using TEM images
collected from a recently published dataset, this article proposes a deep
learning-based classification model to identify the type of virus within those
images correctly. The methodology of this study includes two coherent image
processing techniques to reduce the noise present in the raw microscopy images.
Experimental results show that it can differentiate among the 14 types of
viruses present in the dataset with a maximum of 97.44% classification accuracy
and F1-score, which asserts the effectiveness and reliability of the proposed
method. Implementing this scheme will impart a fast and dependable way of virus
identification subsidiary to the thorough diagnostic procedures.
",2024-05-24 13:52:14+00:00,cs.CV
"CowScreeningDB: A public benchmark dataset for lameness detection in
  dairy cows","  Lameness is one of the costliest pathological problems affecting dairy
animals. It is usually assessed by trained veterinary clinicians who observe
features such as gait symmetry or gait parameters as step counts in real-time.
With the development of artificial intelligence, various modular systems have
been proposed to minimize subjectivity in lameness assessment. However, the
major limitation in their development is the unavailability of a public dataset
which is currently either commercial or privately held. To tackle this
limitation, we have introduced CowScreeningDB which was created using sensory
data. This dataset was sourced from 43 cows at a dairy located in Gran Canaria,
Spain. It consists of a multi-sensor dataset built on data collected using an
Apple Watch 6 during the normal daily routine of a dairy cow. Thanks to the
collection environment, sampling technique, information regarding the sensors,
the applications used for data conversion and storage make the dataset a
transparent one. This transparency of data can thus be used for further
development of techniques for lameness detection for dairy cows which can be
objectively compared. Aside from the public sharing of the dataset, we have
also shared a machine-learning technique which classifies the caws in healthy
and lame by using the raw sensory data. Hence validating the major objective
which is to establish the relationship between sensor data and lameness.
",2024-05-24 13:36:00+00:00,cs.CV
Resilience-by-Design Concepts for 6G Communication Networks,"  The sixth generation (6G) mobile communication networks are expected to
intelligently integrate into various aspects of modern digital society,
including smart cities, homes, healthcare, transportation, and factories. While
offering a multitude of services, it is likely that societies become
increasingly reliant on 6G infrastructure. Any disruption to these digital
services, whether due to human or technical failures, natural disasters, or
terrorism, would significantly impact citizens' daily lives. Hence, 6G networks
need not only to provide high-performance services but also to be resilient in
maintaining essential services in the face of potentially unknown challenges.
This paper introduces a comprehensive concept for designing resilient 6G
communication networks, summarizing our initial studies within the German
Open6GHub project. Adopting an interdisciplinary approach, we propose to embed
physical and cyber resilience across all communication system layers,
addressing electronics, physical channel, network components and functions,
networks, services, and cross-layer and cross-infrastructure considerations.
After reviewing the background on resilience concepts, definitions, and
approaches, we introduce the proposed resilience-by-design (RBD) concept for 6G
communication networks. We further elaborate on the proposed RBD concept along
with selected 6G use-cases and present various open problems for future
research on 6G resilience.
",2024-05-24 10:24:49+00:00,cs.NI
Neural Pfaffians: Solving Many Many-Electron Schrödinger Equations,"  Neural wave functions accomplished unprecedented accuracies in approximating
the ground state of many-electron systems, though at a high computational cost.
Recent works proposed amortizing the cost by learning generalized wave
functions across different structures and compounds instead of solving each
problem independently. Enforcing the permutation antisymmetry of electrons in
such generalized neural wave functions remained challenging as existing methods
require discrete orbital selection via non-learnable hand-crafted algorithms.
This work tackles the problem by defining overparametrized, fully learnable
neural wave functions suitable for generalization across molecules. We achieve
this by relying on Pfaffians rather than Slater determinants. The Pfaffian
allows us to enforce the antisymmetry on arbitrary electronic systems without
any constraint on electronic spin configurations or molecular structure. Our
empirical evaluation finds that a single neural Pfaffian calculates the ground
state and ionization energies with chemical accuracy across various systems. On
the TinyMol dataset, we outperform the `gold-standard' CCSD(T) CBS reference
energies by 1.9m$E_h$ and reduce energy errors compared to previous generalized
neural wave functions by up to an order of magnitude.
",2024-05-23 16:30:51+00:00,cs.LG
"EHRMamba: Towards Generalizable and Scalable Foundation Models for
  Electronic Health Records","  Transformers have significantly advanced the modeling of Electronic Health
Records (EHR), yet their deployment in real-world healthcare is limited by
several key challenges. Firstly, the quadratic computational cost and
insufficient context length of these models pose significant obstacles for
hospitals in processing the extensive medical histories typical in EHR data.
Additionally, existing models employ separate finetuning for each clinical
task, complicating maintenance in healthcare environments. Moreover, these
models focus exclusively on either clinical prediction or EHR forecasting,
lacking the flexibility to perform well across both. To overcome these
limitations, we introduce EHRMamba, a robust foundation model built on the
Mamba architecture. EHRMamba can process sequences up to four times longer than
previous models due to its linear computational cost. We also introduce a novel
approach to Multitask Prompted Finetuning (MTF) for EHR data, which enables
EHRMamba to simultaneously learn multiple clinical tasks in a single finetuning
phase, significantly enhancing deployment and cross-task generalization.
Furthermore, our model leverages the HL7 FHIR data standard to simplify
integration into existing hospital systems. Alongside EHRMamba, we open-source
Odyssey, a toolkit designed to support the development and deployment of EHR
foundation models, with an emphasis on data standardization and
interpretability. Our evaluations on the MIMIC-IV dataset demonstrate that
EHRMamba advances state-of-the-art performance across 6 major clinical tasks
and excels in EHR forecasting, marking a significant leap forward in the field.
",2024-05-23 13:43:29+00:00,cs.LG
"EHR-SeqSQL : A Sequential Text-to-SQL Dataset For Interactively
  Exploring Electronic Health Records","  In this paper, we introduce EHR-SeqSQL, a novel sequential text-to-SQL
dataset for Electronic Health Record (EHR) databases. EHR-SeqSQL is designed to
address critical yet underexplored aspects in text-to-SQL parsing:
interactivity, compositionality, and efficiency. To the best of our knowledge,
EHR-SeqSQL is not only the largest but also the first medical text-to-SQL
dataset benchmark to include sequential and contextual questions. We provide a
data split and the new test set designed to assess compositional generalization
ability. Our experiments demonstrate the superiority of a multi-turn approach
over a single-turn approach in learning compositionality. Additionally, our
dataset integrates specially crafted tokens into SQL queries to improve
execution efficiency. With EHR-SeqSQL, we aim to bridge the gap between
practical needs and academic research in the text-to-SQL domain. EHR-SeqSQL is
available at https://github.com/seonhee99/EHR-SeqSQL.
",2024-05-23 07:14:21+00:00,cs.CL
"From the evolution of public data ecosystems to the evolving horizons of
  the forward-looking intelligent public data ecosystem empowered by emerging
  technologies","  Public data ecosystems (PDEs) represent complex socio-technical systems
crucial for optimizing data use in the public sector and outside it.
Recognizing their multifaceted nature, previous research pro-posed a
six-generation Evolutionary Model of Public Data Ecosystems (EMPDE). Designed
as a result of a systematic literature review on the topic spanning three
decade, this model, while theoretically robust, necessitates empirical
validation to enhance its practical applicability. This study addresses this
gap by validating the theoretical model through a real-life examination in five
European countries - Latvia, Serbia, Czech Republic, Spain, and Poland. This
empirical validation provides insights into PDEs dynamics and variations of
implementations across contexts, particularly focusing on the 6th generation of
forward-looking PDE generation named ""Intelligent Public Data Generation"" that
represents a paradigm shift driven by emerging technologies such as cloud
computing, Artificial Intelligence, Natural Language Processing tools,
Generative AI, and Large Language Models (LLM) with potential to contribute to
both automation and augmentation of business processes within these ecosystems.
By transcending their traditional status as a mere component, evolving into
both an actor and a stakeholder simultaneously, these technologies catalyze
innovation and progress, enhancing PDE management strategies to align with
societal, regulatory, and technical imperatives in the digital era.
",2024-05-22 12:58:02+00:00,cs.CY
"Optimizing Search Advertising Strategies: Integrating Reinforcement
  Learning with Generalized Second-Price Auctions for Enhanced Ad Ranking and
  Bidding","  This paper explores the integration of strategic optimization methods in
search advertising, focusing on ad ranking and bidding mechanisms within
E-commerce platforms. By employing a combination of reinforcement learning and
evolutionary strategies, we propose a dynamic model that adjusts to varying
user interactions and optimizes the balance between advertiser cost, user
relevance, and platform revenue. Our results suggest significant improvements
in ad placement accuracy and cost efficiency, demonstrating the model's
applicability in real-world scenarios.
",2024-05-22 06:30:55+00:00,cs.LG
"Cyberbullying Detection: Exploring Datasets, Technologies, and
  Approaches on Social Media Platforms","  Cyberbullying has been a significant challenge in the digital era world,
given the huge number of people, especially adolescents, who use social media
platforms to communicate and share information. Some individuals exploit these
platforms to embarrass others through direct messages, electronic mail, speech,
and public posts. This behavior has direct psychological and physical impacts
on victims of bullying. While several studies have been conducted in this field
and various solutions proposed to detect, prevent, and monitor cyberbullying
instances on social media platforms, the problem continues. Therefore, it is
necessary to conduct intensive studies and provide effective solutions to
address the situation. These solutions should be based on detection,
prevention, and prediction criteria methods. This paper presents a
comprehensive systematic review of studies conducted on cyberbullying
detection. It explores existing studies, proposed solutions, identified gaps,
datasets, technologies, approaches, challenges, and recommendations, and then
proposes effective solutions to address research gaps in future studies.
",2024-05-22 04:58:20+00:00,cs.CY
"KU-DMIS at EHRSQL 2024:Generating SQL query via question templatization
  in EHR","  Transforming natural language questions into SQL queries is crucial for
precise data retrieval from electronic health record (EHR) databases. A
significant challenge in this process is detecting and rejecting unanswerable
questions that request information beyond the database's scope or exceed the
system's capabilities. In this paper, we introduce a novel text-to-SQL
framework that robustly handles out-of-domain questions and verifies the
generated queries with query execution.Our framework begins by standardizing
the structure of questions into a templated format. We use a powerful large
language model (LLM), fine-tuned GPT-3.5 with detailed prompts involving the
table schemas of the EHR database system. Our experimental results demonstrate
the effectiveness of our framework on the EHRSQL-2024 benchmark benchmark, a
shared task in the ClinicalNLP workshop. Although a straightforward fine-tuning
of GPT shows promising results on the development set, it struggled with the
out-of-domain questions in the test set. With our framework, we improve our
system's adaptability and achieve competitive performances in the official
leaderboard of the EHRSQL-2024 challenge.
",2024-05-22 02:15:57+00:00,cs.DB
Performance Comparison of Various Modes of Advanced Encryption Standard,"  With the maturation of quantum computing technology, many cryptographic
methods are gradually facing threats from quantum computing. Although the
Grover algorithm can accelerate search speeds, current research indicates that
the Advanced Encryption Standard (AES) method can still enhance security by
increasing the length of the secret key. However, the AES method involves
multiple modes in implementation, and not all modes are secure. Therefore, this
study proposes a normalized Gini impurity (NGI) to verify the security of each
mode, using encrypted images as a case study for empirical analysis.
Furthermore, this study primarily compares the Electronic Codebook (ECB) mode,
Cipher Block Chaining (CBC) mode, Counter (CTR) mode, Counter with CBC-Message
Authentication Code (MAC) (CCM) mode, and Galois Counter Mode (GCM).
",2024-05-22 01:09:49+00:00,cs.CR
Robust portfolio optimization model for electronic coupon allocation,"  Currently, many e-commerce websites issue online/electronic coupons as an
effective tool for promoting sales of various products and services. We focus
on the problem of optimally allocating coupons to customers subject to a budget
constraint on an e-commerce website. We apply a robust portfolio optimization
model based on customer segmentation to the coupon allocation problem. We also
validate the efficacy of our method through numerical experiments using actual
data from randomly distributed coupons. Main contributions of our research are
twofold. First, we handle six types of coupons, thereby making it extremely
difficult to accurately estimate the difference in the effects of various
coupons. Second, we demonstrate from detailed numerical results that the robust
optimization model achieved larger uplifts of sales than did the commonly-used
multiple-choice knapsack model and the conventional mean-variance optimization
model. Our results open up great potential for robust portfolio optimization as
an effective tool for practical coupon allocation.
",2024-05-21 15:30:25+00:00,cs.IR
"Continuous Predictive Modeling of Clinical Notes and ICD Codes in
  Patient Health Records","  Electronic Health Records (EHR) serve as a valuable source of patient
information, offering insights into medical histories, treatments, and
outcomes. Previous research has developed systems for detecting applicable ICD
codes that should be assigned while writing a given EHR document, mainly
focusing on discharge summaries written at the end of a hospital stay. In this
work, we investigate the potential of predicting these codes for the whole
patient stay at different time points during their stay, even before they are
officially assigned by clinicians. The development of methods to predict
diagnoses and treatments earlier in advance could open opportunities for
predictive medicine, such as identifying disease risks sooner, suggesting
treatments, and optimizing resource allocation. Our experiments show that
predictions regarding final ICD codes can be made already two days after
admission and we propose a custom model that improves performance on this early
prediction task.
",2024-05-19 17:23:04+00:00,cs.CL
"WisPerMed at ""Discharge Me!"": Advancing Text Generation in Healthcare
  with Large Language Models, Dynamic Expert Selection, and Priming Techniques
  on MIMIC-IV","  This study aims to leverage state of the art language models to automate
generating the ""Brief Hospital Course"" and ""Discharge Instructions"" sections of
Discharge Summaries from the MIMIC-IV dataset, reducing clinicians'
administrative workload. We investigate how automation can improve
documentation accuracy, alleviate clinician burnout, and enhance operational
efficacy in healthcare facilities. This research was conducted within our
participation in the Shared Task Discharge Me! at BioNLP @ ACL 2024. Various
strategies were employed, including few-shot learning, instruction tuning, and
Dynamic Expert Selection (DES), to develop models capable of generating the
required text sections. Notably, utilizing an additional clinical
domain-specific dataset demonstrated substantial potential to enhance clinical
language processing. The DES method, which optimizes the selection of text
outputs from multiple predictions, proved to be especially effective. It
achieved the highest overall score of 0.332 in the competition, surpassing
single-model outputs. This finding suggests that advanced deep learning methods
in combination with DES can effectively automate parts of electronic health
record documentation. These advancements could enhance patient care by freeing
clinician time for patient interactions. The integration of text selection
strategies represents a promising avenue for further research.
",2024-05-18 10:56:45+00:00,cs.CL
"LG AI Research & KAIST at EHRSQL 2024: Self-Training Large Language
  Models with Pseudo-Labeled Unanswerable Questions for a Reliable Text-to-SQL
  System on EHRs","  Text-to-SQL models are pivotal for making Electronic Health Records (EHRs)
accessible to healthcare professionals without SQL knowledge. With the
advancements in large language models, these systems have become more adept at
translating complex questions into SQL queries. Nonetheless, the critical need
for reliability in healthcare necessitates these models to accurately identify
unanswerable questions or uncertain predictions, preventing misinformation. To
address this problem, we present a self-training strategy using pseudo-labeled
unanswerable questions to enhance the reliability of text-to-SQL models for
EHRs. This approach includes a two-stage training process followed by a
filtering method based on the token entropy and query execution. Our
methodology's effectiveness is validated by our top performance in the EHRSQL
2024 shared task, showcasing the potential to improve healthcare
decision-making through more reliable text-to-SQL systems.
",2024-05-18 03:25:44+00:00,cs.CL
"Air Signing and Privacy-Preserving Signature Verification for Digital
  Documents","  This paper presents a novel approach to the digital signing of electronic
documents through the use of a camera-based interaction system, single-finger
tracking for sign recognition, and multi commands executing hand gestures. The
proposed solution, referred to as ""Air Signature,"" involves writing the
signature in front of the camera, rather than relying on traditional methods
such as mouse drawing or physically signing on paper and showing it to a web
camera. The goal is to develop a state-of-the-art method for detecting and
tracking gestures and objects in real-time. The proposed methods include
applying existing gesture recognition and object tracking systems, improving
accuracy through smoothing and line drawing, and maintaining continuity during
fast finger movements. An evaluation of the fingertip detection, sketching, and
overall signing process is performed to assess the effectiveness of the
proposed solution. The secondary objective of this research is to develop a
model that can effectively recognize the unique signature of a user. This type
of signature can be verified by neural cores that analyze the movement, speed,
and stroke pixels of the signing in real time. The neural cores use machine
learning algorithms to match air signatures to the individual's stored
signatures, providing a secure and efficient method of verification. Our
proposed System does not require sensors or any hardware other than the camera.
",2024-05-17 16:00:10+00:00,cs.CV
"Dual-band feature selection for maturity classification of specialty
  crops by hyperspectral imaging","  The maturity classification of specialty crops such as strawberries and
tomatoes is an essential agricultural downstream activity for selective
harvesting and quality control (QC) at production and packaging sites. Recent
advancements in Deep Learning (DL) have produced encouraging results in color
images for maturity classification applications. However, hyperspectral imaging
(HSI) outperforms methods based on color vision. Multivariate analysis methods
and Convolutional Neural Networks (CNN) deliver promising results; however, a
large amount of input data and the associated preprocessing requirements cause
hindrances in practical application. Conventionally, the reflectance intensity
in a given electromagnetic spectrum is employed in estimating fruit maturity.
We present a feature extraction method to empirically demonstrate that the peak
reflectance in subbands such as 500-670 nm (pigment band) and the wavelength of
the peak position, and contrarily, the trough reflectance and its corresponding
wavelength within 671-790 nm (chlorophyll band) are convenient to compute yet
distinctive features for the maturity classification. The proposed feature
selection method is beneficial because preprocessing, such as dimensionality
reduction, is avoided before every prediction. The feature set is designed to
capture these traits. The best SOTA methods, among 3D-CNN, 1D-CNN, and SVM,
achieve at most 90.0 % accuracy for strawberries and 92.0 % for tomatoes on our
dataset. Results show that the proposed method outperforms the SOTA as it
yields an accuracy above 98.0 % in strawberry and 96.0 % in tomato
classification. A comparative analysis of the time efficiency of these methods
is also conducted, which shows the proposed method performs prediction at 13
Frames Per Second (FPS) compared to the maximum 1.16 FPS attained by the
full-spectrum SVM classifier.
",2024-05-16 10:01:16+00:00,cs.CV
