Title,Summary,Updated,Category,Link
A practical approach to language complexity: a Wikipedia case study,"  In this paper we present statistical analysis of English texts from
Wikipedia. We try to address the issue of language complexity empirically by
comparing the simple English Wikipedia (Simple) to comparable samples of the
main English Wikipedia (Main). Simple is supposed to use a more simplified
language with a limited vocabulary, and editors are explicitly requested to
follow this guideline, yet in practice the vocabulary richness of both samples
are at the same level. Detailed analysis of longer units (n-grams of words and
part of speech tags) shows that the language of Simple is less complex than
that of Main primarily due to the use of shorter sentences, as opposed to
drastically simplified syntax or vocabulary. Comparing the two language
varieties by the Gunning readability index supports this conclusion. We also
report on the topical dependence of language complexity, e.g. that the language
is more advanced in conceptual articles compared to person-based (biographical)
and object-based articles. Finally, we investigate the relation between
conflict and language complexity by analyzing the content of the talk pages
associated to controversial and peacefully developing articles, concluding that
controversy has the effect of reducing language complexity.
",2023-01-05,Computer Science - Computation and Language,http://arxiv.org/abs/1204.2765
Quantitative Concept Analysis,"  Formal Concept Analysis (FCA) begins from a context, given as a binary
relation between some objects and some attributes, and derives a lattice of
concepts, where each concept is given as a set of objects and a set of
attributes, such that the first set consists of all objects that satisfy all
attributes in the second, and vice versa. Many applications, though, provide
contexts with quantitative information, telling not just whether an object
satisfies an attribute, but also quantifying this satisfaction. Contexts in
this form arise as rating matrices in recommender systems, as occurrence
matrices in text analysis, as pixel intensity matrices in digital image
processing, etc. Such applications have attracted a lot of attention, and
several numeric extensions of FCA have been proposed. We propose the framework
of proximity sets (proxets), which subsume partially ordered sets (posets) as
well as metric spaces. One feature of this approach is that it extracts from
quantified contexts quantified concepts, and thus allows full use of the
available information. Another feature is that the categorical approach allows
analyzing any universal properties that the classical FCA and the new versions
may have, and thus provides structural guidance for aligning and combining the
approaches.
",2023-11-03,Computer Science - Machine Learning,http://arxiv.org/abs/1204.5802
Combinatorial aspect of fashion,"  Simulations are performed according to the Axelrod model of culture
dissemination, with modified mechanism of repulsion. Previously, repulsion was
considered by Radillo-Diaz et al (Phys. Rev. E 80 (2009) 066107) as dependent
on a predefined threshold. Here the probabilities of attraction and repulsion
are calculated from the number of cells in the same states. We also investigate
the influence of some homogeneity, introduced to the initial state. As the
result of the probabilistic definition of repulsion, the ordered state
vanishes. A small cluster of a few percent of population is retained only if in
the initial state a set of agents is prepared in the same state. We conclude
that the modelled imitation is successful only with respect to agents, and not
only their features.
",2023-07-19,Physics - Physics and Society,http://arxiv.org/abs/1205.2251
"The Longest Queue Drop Policy for Shared-Memory Switches is
  1.5-competitive","  We consider the Longest Queue Drop memory management policy in shared-memory
switches consisting of $N$ output ports. The shared memory of size $M\geq N$
may have an arbitrary number of input ports. Each packet may be admitted by any
incoming port, but must be destined to a specific output port and each output
port may be used by only one queue. The Longest Queue Drop policy is a natural
online strategy used in directing the packet flow in buffering problems.
According to this policy and assuming unit packet values and cost of
transmission, every incoming packet is accepted, whereas if the shared memory
becomes full, one or more packets belonging to the longest queue are preempted,
in order to make space for the newly arrived packets. It was proved in 2001
[Hahne et al., SPAA '01] that the Longest Queue Drop policy is 2-competitive
and at least $\sqrt{2}$-competitive. It remained an open question whether a
(2-\epsilon) upper bound for the competitive ratio of this policy could be
shown, for any positive constant \epsilon. We show that the Longest Queue Drop
online policy is 1.5-competitive.
",2023-02-09,Computer Science - Data Structures and Algorithms,http://arxiv.org/abs/1207.1141
"Opinions, Conflicts and Consensus: Modeling Social Dynamics in a
  Collaborative Environment","  Information-communication technology promotes collaborative environments like
Wikipedia where, however, controversiality and conflicts can appear. To
describe the rise, persistence, and resolution of such conflicts we devise an
extended opinion dynamics model where agents with different opinions perform a
single task to make a consensual product. As a function of the convergence
parameter describing the influence of the product on the agents, the model
shows spontaneous symmetry breaking of the final consensus opinion represented
by the medium. In the case when agents are replaced with new ones at a certain
rate, a transition from mainly consensus to a perpetual conflict occurs, which
is in qualitative agreement with the scenarios observed in Wikipedia.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1207.4914
A Session based Multiple Image Hiding Technique using DWT and DCT,"  This work proposes Steganographic technique for hiding multiple images in a
color image based on DWT and DCT. The cover image is decomposed into three
separate color planes namely R, G and B. Individual planes are decomposed into
subbands using DWT. DCT is applied in HH component of each plane. Secret images
are dispersed among the selected DCT coefficients using a pseudo random
sequence and a Session key. Secret images are extracted using the session key
and the size of the images from the planer decomposed stego image. In this
approach the stego image generated is of acceptable level of imperceptibility
and distortion compared to the cover image and the overall security is high.
",2023-07-19,Computer Science - Cryptography and Security,http://arxiv.org/abs/1208.0950
Value production in a collaborative environment,"  We review some recent endeavors and add some new results to characterize and
understand underlying mechanisms in Wikipedia (WP), the paradigmatic example of
collaborative value production. We analyzed the statistics of editorial
activity in different languages and observed typical circadian and weekly
patterns, which enabled us to estimate the geographical origins of
contributions to WPs in languages spoken in several time zones. Using a
recently introduced measure we showed that the editorial activities have
intrinsic dependencies in the burstiness of events. A comparison of the English
and Simple English WPs revealed important aspects of language complexity and
showed how peer cooperation solved the task of enhancing readability. One of
our focus issues was characterizing the conflicts or edit wars in WPs, which
helped us to automatically filter out controversial pages. When studying the
temporal evolution of the controversiality of such pages we identified typical
patterns and classified conflicts accordingly. Our quantitative analysis
provides the basis of modeling conflicts and their resolution in collaborative
environments and contribute to the understanding of this issue, which becomes
increasingly important with the development of information communication
technology.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1208.5130
Proof of Church's Thesis,"  We prove that if our calculating capability is that of a universal Turing
machine with a finite tape, then Church's thesis is true. This way we
accomplish Post (1936) program.
",2023-03-22,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1209.5036
"Network structure of phonographic market with characteristic
  similarities between musicians","  We investigate relations between best selling artists in last decade on
phonographic market and from perspective of listeners by using the Social
Network Analyzes. Starting network is obtained from the matrix of correlations
between the world's best selling artists by considering the synchronous time
evolution of weekly record sales. This method reveals the structure of
phonographic market, but we claim that it has no impact on people who see
relationship between artists and music genres. We compare 'sale' (based on
correlation of record sales) or 'popularity' (based on data mining of the
record charts) networks with 'similarity' (obtained mainly from survey within
music experts opinion) and find no significant relations. We postulate that
non-laminar phenomena on this specific market introduce turbulence to how
people view relations of artists.
",2023-07-19,Nonlinear Sciences - Adaptation and Self-Organizing Systems,http://arxiv.org/abs/1210.0225
Enumerating topological $(n_k)$-configurations,"  An $(n_k)$-configuration is a set of $n$ points and $n$ lines in the
projective plane such that their point-line incidence graph is $k$-regular. The
configuration is geometric, topological, or combinatorial depending on whether
lines are considered to be straight lines, pseudolines, or just combinatorial
lines. We provide an algorithm for generating, for given $n$ and $k$, all
topological $(n_k)$-configurations up to combinatorial isomorphism, without
enumerating first all combinatorial $(n_k)$-configurations. We apply this
algorithm to confirm efficiently a former result on topological
$(18_4)$-configurations, from which we obtain a new geometric
$(18_4)$-configuration. Preliminary results on $(19_4)$-configurations are also
briefly reported.
",2023-11-14,Computer Science - Computational Geometry,http://arxiv.org/abs/1210.0306
Feature Subset Selection for Software Cost Modelling and Estimation,"  Feature selection has been recently used in the area of software engineering
for improving the accuracy and robustness of software cost models. The idea
behind selecting the most informative subset of features from a pool of
available cost drivers stems from the hypothesis that reducing the
dimensionality of datasets will significantly minimise the complexity and time
required to reach to an estimation using a particular modelling technique. This
work investigates the appropriateness of attributes, obtained from empirical
project databases and aims to reduce the cost drivers used while preserving
performance. Finding suitable subset selections that may cater improved
predictions may be considered as a pre-processing step of a particular
technique employed for cost estimation (filter or wrapper) or an internal
(embedded) step to minimise the fitting error. This paper compares nine
relatively popular feature selection methods and uses the empirical values of
selected attributes recorded in the ISBSG and Desharnais datasets to estimate
software development effort.
",2023-12-21,Computer Science - Software Engineering,http://arxiv.org/abs/1210.1161
A New Quantum Data Processing Inequality,"  Quantum data processing inequality bounds the set of bipartite states that
can be generated by two far apart parties under local operations; Having access
to a bipartite state as a resource, two parties cannot locally transform it to
another bipartite state with a mutual information greater than that of the
resource state. But due to the additivity of quantum mutual information under
tensor product, the data processing inequality gives no bound when the parties
are provided with arbitrary number of copies of the resource state. In this
paper we introduce a measure of correlation on bipartite quantum states, called
maximal correlation, that is not additive and gives the same number when
computed for multiple copies. Then by proving a data processing inequality for
this measure, we find a bound on the set of states that can be generated under
local operations even when an arbitrary number of copies of the resource state
is available.
",2023-03-14,Quantum Physics,http://arxiv.org/abs/1210.1689
"Vortices within vortices: hierarchical nature of vortex tubes in
  turbulence","  The JHU turbulence database [1] can be used with a state of the art
visualisation tool [2] to generate high quality fluid dynamics videos. In this
work we investigate the classical idea that smaller structures in turbulent
flows, while engaged in their own internal dynamics, are advected by the larger
structures. They are not advected undistorted, however. We see instead that the
small scale structures are sheared and twisted by the larger scales. This
illuminates the basic mechanisms of the turbulent cascade.
",2023-11-22,Physics - Fluid Dynamics,http://arxiv.org/abs/1210.3325
"Get my pizza right: Repairing missing is-a relations in ALC ontologies
  (extended version)","  With the increased use of ontologies in semantically-enabled applications,
the issue of debugging defects in ontologies has become increasingly important.
These defects can lead to wrong or incomplete results for the applications.
Debugging consists of the phases of detection and repairing. In this paper we
focus on the repairing phase of a particular kind of defects, i.e. the missing
relations in the is-a hierarchy. Previous work has dealt with the case of
taxonomies. In this work we extend the scope to deal with ALC ontologies that
can be represented using acyclic terminologies. We present algorithms and
discuss a system.
",2023-11-13,Computer Science - Artificial Intelligence,http://arxiv.org/abs/1210.7154
"Early Prediction of Movie Box Office Success based on Wikipedia Activity
  Big Data","  Use of socially generated ""big data"" to access information about collective
states of the minds in human societies has become a new paradigm in the
emerging field of computational social science. A natural application of this
would be the prediction of the society's reaction to a new product in the sense
of popularity and adoption rate. However, bridging the gap between ""real time
monitoring"" and ""early predicting"" remains a big challenge. Here we report on
an endeavor to build a minimalistic predictive model for the financial success
of movies based on collective activity data of online users. We show that the
popularity of a movie can be predicted much before its release by measuring and
analyzing the activity level of editors and viewers of the corresponding entry
to the movie in Wikipedia, the well-known online encyclopedia.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1211.0970
A Linear Kernel for Planar Total Dominating Set,"  A total dominating set of a graph $G=(V,E)$ is a subset $D \subseteq V$ such
that every vertex in $V$ is adjacent to some vertex in $D$. Finding a total
dominating set of minimum size is NP-hard on planar graphs and W[2]-complete on
general graphs when parameterized by the solution size. By the meta-theorem of
Bodlaender et al. [J. ACM, 2016], there exists a linear kernel for Total
Dominating Set on graphs of bounded genus. Nevertheless, it is not clear how
such a kernel can be effectively constructed, and how to obtain explicit
reduction rules with reasonably small constants. Following the approach of
Alber et al. [J. ACM, 2004], we provide an explicit kernel for Total Dominating
Set on planar graphs with at most $410k$ vertices, where $k$ is the size of the
solution. This result complements several known constructive linear kernels on
planar graphs for other domination problems such as Dominating Set, Edge
Dominating Set, Efficient Dominating Set, Connected Dominating Set, or Red-Blue
Dominating Set.
",2023-06-22,Computer Science - Data Structures and Algorithms,http://arxiv.org/abs/1211.0978
"Systematic Stochastic Reduction of Inertial Fluid-Structure Interactions
  subject to Thermal Fluctuations","  We investigate the dynamics of elastic microstructures within a fluid that
are subjected to thermal fluctuations. We perform analysis to obtain
systematically simplified descriptions of the mechanics in the limiting regimes
when (i) the coupling forces that transfer momentum between the fluid and
microstructures is strong, (ii) the mass of the microstructures is small
relative to the displaced mass of the fluid, and (iii) the response to stresses
results in hydrodynamics that relax rapidly to a quasi-steady-state relative to
the motions of the microstructure. We derive effective equations using a
singular perturbation analysis of the Backward Kolmogorov equations of the
stochastic process. Our continuum mechanics description is based on the
Stochastic Eulerian Lagrangian Method (SELM) which provides a framework for
approximation of the fluid-structure interactions when subject to thermal
fluctuations.
",2023-10-24,Condensed Matter - Soft Condensed Matter,http://arxiv.org/abs/1211.3798
Choice Disjunctive Queries in Logic Programming,"  One of the long-standing research problems on logic programming is to treat
the cut predicate in a logical, high-level way. We argue that this problem can
be solved by adopting linear logic and choice-disjunctive goal formulas of the
form $G_0 \add G_1$ where $G_0, G_1$ are goals. These goals have the following
intended semantics: $choose$ the true disjunct $G_i$ and execute $G_i$ where $i
(= 0\ {\rm or}\ 1)$, while $discarding$ the unchosen disjunct. Note that only
one goal can remain alive during execution. These goals thus allow us to
specify mutually exclusive tasks in a high-level way.
",2023-01-31,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1211.6940
Modal Functional (Dialectica) Interpretation,"  We adapt our light Dialectica interpretation to usual and light modal
formulas (with universal quantification on boolean and natural variables) and
prove it sound for a non-standard modal arithmetic based on Goedel's T and
classical S4. The range of this light modal Dialectica is the usual (non-modal)
classical Arithmetic in all finite types (with booleans); the propositional
kernel of its domain is Boolean and not S4. The `heavy' modal Dialectica
interpretation is a new technique, as it cannot be simulated within our
previous light Dialectica. The synthesized functionals are at least as good as
before, while the translation process is improved. Through our modal
Dialectica, the existence of a realizer for the defining axiom of classical S5
reduces to the Drinking Principle (cf. Smullyan).
",2023-06-22,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1212.0020
"The projector algorithm: a simple parallel algorithm for computing
  Voronoi diagrams and Delaunay graphs","  The Voronoi diagram is a certain geometric data structure which has numerous
applications in various scientific and technological fields. The theory of
algorithms for computing 2D Euclidean Voronoi diagrams of point sites is rich
and useful, with several different and important algorithms. However, this
theory has been quite steady during the last few decades in the sense that no
essentially new algorithms have entered the game. In addition, most of the
known algorithms are serial in nature and hence cast inherent difficulties on
the possibility to compute the diagram in parallel. In this paper we present
the projector algorithm: a new and simple algorithm which enables the
(combinatorial) computation of 2D Voronoi diagrams. The algorithm is
significantly different from previous ones and some of the involved concepts in
it are in the spirit of linear programming and optics. Parallel implementation
is naturally supported since each Voronoi cell can be computed independently of
the other cells. A new combinatorial structure for representing the cells (and
any convex polytope) is described along the way and the computation of the
induced Delaunay graph is obtained almost automatically.
",2023-07-17,Computer Science - Computational Geometry,http://arxiv.org/abs/1212.1095
On the Convergence Properties of Optimal AdaBoost,"  AdaBoost is one of the most popular ML algorithms. It is simple to implement
and often found very effective by practitioners, while still being
mathematically elegant and theoretically sound. AdaBoost's interesting behavior
in practice still puzzles the ML community. We address the algorithm's
stability and establish multiple convergence properties of ""Optimal AdaBoost,""
a term coined by Rudin, Daubechies, and Schapire in 2004. We prove, in a
reasonably strong computational sense, the almost universal existence of time
averages, and with that, the convergence of the classifier itself, its
generalization error, and its resulting margins, among many other objects, for
fixed data sets under arguably reasonable conditions. Specifically, we frame
Optimal AdaBoost as a dynamical system and, employing tools from ergodic
theory, prove that, under a condition that Optimal AdaBoost does not have ties
for best weak classifier eventually, a condition for which we provide empirical
evidence from high dimensional real-world datasets, the algorithm's update
behaves like a continuous map. We provide constructive proofs of several
arbitrarily accurate approximations of Optimal AdaBoost; prove that they
exhibit certain cycling behavior in finite time, and that the resulting
dynamical system is ergodic; and establish sufficient conditions for the same
to hold for the actual Optimal-AdaBoost update. We believe that our results
provide reasonably strong evidence for the affirmative answer to two open
conjectures, at least from a broad computational-theory perspective: AdaBoost
always cycles and is an ergodic dynamical system. We present empirical evidence
that cycles are hard to detect while time averages stabilize quickly. Our
results ground future convergence-rate analysis and may help optimize
generalization ability and alleviate a practitioner's burden of deciding how
long to run the algorithm.
",2023-01-06,Computer Science - Machine Learning,http://arxiv.org/abs/1212.1108
GNU epsilon -- an extensible programming language,"  Reductionism is a viable strategy for designing and implementing practical
programming languages, leading to solutions which are easier to extend,
experiment with and formally analyze. We formally specify and implement an
extensible programming language, based on a minimalistic first-order imperative
core language plus strong abstraction mechanisms, reflection and
self-modification features. The language can be extended to very high levels:
by using Lisp-style macros and code-to-code transforms which automatically
rewrite high-level expressions into core forms, we define closures and
first-class continuations on top of the core. Non-self-modifying programs can
be analyzed and formally reasoned upon, thanks to the language simple
semantics. We formally develop a static analysis and prove a soundness property
with respect to the dynamic semantics. We develop a parallel garbage collector
suitable to multi-core machines to permit efficient execution of parallel
programs.
",2023-09-27,Computer Science - Programming Languages,http://arxiv.org/abs/1212.5210
Initial Semantics for Reduction Rules,"  We give an algebraic characterization of the syntax and operational semantics
of a class of simply-typed languages, such as the language PCF: we characterize
simply-typed syntax with variable binding and equipped with reduction rules via
a universal property, namely as the initial object of some category of models.
For this purpose, we employ techniques developed in two previous works: in the
first work we model syntactic translations between languages over different
sets of types as initial morphisms in a category of models. In the second work
we characterize untyped syntax with reduction rules as initial object in a
category of models. In the present work, we combine the techniques used earlier
in order to characterize simply-typed syntax with reduction rules as initial
object in a category. The universal property yields an operator which allows to
specify translations---that are semantically faithful by construction---between
languages over possibly different sets of types.
  As an example, we upgrade a translation from PCF to the untyped lambda
calculus, given in previous work, to account for reduction in the source and
target. Specifically, we specify a reduction semantics in the source and target
language through suitable rules. By equipping the untyped lambda calculus with
the structure of a model of PCF, initiality yields a translation from PCF to
the lambda calculus, that is faithful with respect to the reduction semantics
specified by the rules.
  This paper is an extended version of an article published in the proceedings
of WoLLIC 2012.
",2023-06-22,Mathematics - Logic,http://arxiv.org/abs/1212.5668
GESPAR: Efficient Phase Retrieval of Sparse Signals,"  We consider the problem of phase retrieval, namely, recovery of a signal from
the magnitude of its Fourier transform, or of any other linear transform. Due
to the loss of the Fourier phase information, this problem is ill-posed.
Therefore, prior information on the signal is needed in order to enable its
recovery. In this work we consider the case in which the signal is known to be
sparse, i.e., it consists of a small number of nonzero elements in an
appropriate basis. We propose a fast local search method for recovering a
sparse signal from measurements of its Fourier transform (or other linear
transform) magnitude which we refer to as GESPAR: GrEedy Sparse PhAse
Retrieval. Our algorithm does not require matrix lifting, unlike previous
approaches, and therefore is potentially suitable for large scale problems such
as images. Simulation results indicate that GESPAR is fast and more accurate
than existing techniques in a variety of settings.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1301.1018
Cramer-Rao Lower Bound and Information Geometry,"  This article focuses on an important piece of work of the world renowned
Indian statistician, Calyampudi Radhakrishna Rao. In 1945, C. R. Rao (25 years
old then) published a pathbreaking paper, which had a profound impact on
subsequent statistical research.
",2023-04-04,Computer Science - Information Theory,http://arxiv.org/abs/1301.3578
"Creative telescoping for rational functions using the Griffiths-Dwork
  method","  Creative telescoping algorithms compute linear differential equations
satisfied by multiple integrals with parameters. We describe a precise and
elementary algorithmic version of the Griffiths-Dwork method for the creative
telescoping of rational functions. This leads to bounds on the order and degree
of the coefficients of the differential equation, and to the first complexity
result which is simply exponential in the number of variables. One of the
important features of the algorithm is that it does not need to compute
certificates. The approach is vindicated by a prototype implementation.
",2023-06-12,Computer Science - Symbolic Computation,http://arxiv.org/abs/1301.4313
"Breathfinding: A Wireless Network that Monitors and Locates Breathing in
  a Home","  This paper explores using RSS measurements on many links in a wireless
network to estimate the breathing rate of a person, and the location where the
breathing is occurring, in a home, while the person is sitting, laying down,
standing, or sleeping. The main challenge in breathing rate estimation is that
""motion interference"", i.e., movements other than a person's breathing,
generally cause larger changes in RSS than inhalation and exhalation. We
develop a method to estimate breathing rate despite motion interference, and
demonstrate its performance during multiple short (3-7 minute) tests and during
a longer 66 minute test. Further, for the same experiments, we show the
location of the breathing person can be estimated, to within about 2 m average
error in a 56 square meter apartment. Being able to locate a breathing person
who is not otherwise moving, without calibration, is important for applications
in search and rescue, health care, and security.
",2023-07-19,Computer Science - Human-Computer Interaction,http://arxiv.org/abs/1302.3820
"Alternating Rate Profile Optimization in Single Stream MIMO Interference
  Channels","  The multiple-input multiple-output interference channel is considered with
perfect channel information at the transmitters and single-user decoding
receivers. With all transmissions restricted to single stream beamforming, we
consider the problem of finding all Pareto optimal rate-tuples in the
achievable rate region. The problem is cast as a rate profile optimization
problem. Due to its nonconvexity, we resort to an alternating approach: For
fixed receivers, optimal transmission is known. For fixed transmitters, we show
that optimal receive beamforming is a solution to an inverse field of values
problem. We prove the solution's stationarity and compare it with existing
approaches.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1303.4683
Bicompletions of distance matrices,"  In the practice of information extraction, the input data are usually
arranged into pattern matrices, and analyzed by the methods of linear algebra
and statistics, such as principal component analysis. In some applications, the
tacit assumptions of these methods lead to wrong results. The usual reason is
that the matrix composition of linear algebra presents information as flowing
in waves, whereas it sometimes flows in particles, which seek the shortest
paths. This wave-particle duality in computation and information processing has
been originally observed by Abramsky. In this paper we pursue a particle view
of information, formalized in *distance spaces*, which generalize metric
spaces, but are slightly less general than Lawvere's *generalized metric
spaces*. In this framework, the task of extracting the 'principal components'
from a given matrix of data boils down to a bicompletio}, in the sense of
enriched category theory. We describe the bicompletion construction for
distance matrices. The practical goal that motivates this research is to
develop a method to estimate the hardness of attack constructions in security.
",2023-11-03,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1303.6428
State/event based versus purely Action or State based Logics,"  Although less studied than purely action or state based logics, state/event
based logics are becoming increasingly important. Some systems are best studied
using structures with information on both states and transitions, and it is
these structures over which state/event based logics are defined. The logic
UCTL and its variants are perhaps the most widely studied and implemented of
these logics to date. As yet, however, no-one seems to have defined UCTL*, a
trivial step but a worthwhile one. Here we do just that, but prove in the cases
of both UCTL and UCTL* that these logics are no more expressive than their more
commonplace fragments. Also, acknowledging the importance of modal transition
systems, we define a state/event based logic over a modified modal transition
system as a precursor to further work.
",2023-07-11,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1303.7459
"Operational Concurrency Control in the Face of Arbitrary Scale and
  Latency","  We present for the first time a complete solution to the problem of proving
the correctness of a concurrency control algorithm for collaborative text
editors against the standard consistency model. The success of our approach
stems from the use of comprehensive stringwise operational transformations,
which appear to have escaped a formal treatment until now. Because these
transformations sometimes lead to an increase in the number of operations as
they are transformed, we cannot use inductive methods and adopt the novel idea
of decreasing diagrams instead. We also base our algorithm on a client-server
model rather than a peer-to-peer one, which leads to the correct application of
operational transformations to both newly generated and pending operations. And
lastly we solve the problem of latency, so that our algorithm works perfectly
in practice. The result of these innovations is the first ever formally correct
concurrency control algorithm for collaborative text editors together with a
fast, fault tolerant and highly scalable implementation.
",2023-06-12,Computer Science - Data Structures and Algorithms,http://arxiv.org/abs/1303.7462
"Petition Growth and Success Rates on the UK No. 10 Downing Street
  Website","  Now that so much of collective action takes place online, web-generated data
can further understanding of the mechanics of Internet-based mobilisation. This
trace data offers social science researchers the potential for new forms of
analysis, using real-time transactional data based on entire populations,
rather than sample-based surveys of what people think they did or might do.
This paper uses a `big data' approach to track the growth of over 8,000
petitions to the UK Government on the No. 10 Downing Street website for two
years, analysing the rate of growth per day and testing the hypothesis that the
distribution of daily change will be leptokurtic (rather than normal) as
previous research on agenda setting would suggest. This hypothesis is
confirmed, suggesting that Internet-based mobilisation is characterized by
tipping points (or punctuated equilibria) and explaining some of the volatility
in online collective action. We find also that most successful petitions grow
quickly and that the number of signatures a petition receives on its first day
is a significant factor in explaining the overall number of signatures a
petition receives during its lifetime. These findings have implications for the
strategies of those initiating petitions and the design of web sites with the
aim of maximising citizen engagement with policy issues.
",2023-01-05,Computer Science - Computers and Society,http://arxiv.org/abs/1304.0588
"Temporal Analysis of Activity Patterns of Editors in Collaborative
  Mapping Project of OpenStreetMap","  In the recent years Wikis have become an attractive platform for social
studies of the human behaviour. Containing millions records of edits across the
globe, collaborative systems such as Wikipedia have allowed researchers to gain
a better understanding of editors participation and their activity patterns.
However, contributions made to Geo-wikis_wiki-based collaborative mapping
projects_ differ from systems such as Wikipedia in a fundamental way due to
spatial dimension of the content that limits the contributors to a set of those
who posses local knowledge about a specific area and therefore cross-platform
studies and comparisons are required to build a comprehensive image of online
open collaboration phenomena. In this work, we study the temporal behavioural
pattern of OpenStreetMap editors, a successful example of geo-wiki, for two
European capital cities. We categorise different type of temporal patterns and
report on the historical trend within a period of 7 years of the project age.
We also draw a comparison with the previously observed editing activity
patterns of Wikipedia.
",2023-01-05,Computer Science - Computers and Society,http://arxiv.org/abs/1304.2031
An Empirical Comparison of Three Inference Methods,"  In this paper, an empirical evaluation of three inference methods for
uncertain reasoning is presented in the context of Pathfinder, a large expert
system for the diagnosis of lymph-node pathology. The inference procedures
evaluated are (1) Bayes' theorem, assuming evidence is conditionally
independent given each hypothesis; (2) odds-likelihood updating, assuming
evidence is conditionally independent given each hypothesis and given the
negation of each hypothesis; and (3) a inference method related to the
Dempster-Shafer theory of belief. Both expert-rating and decision-theoretic
metrics are used to compare the diagnostic accuracy of the inference methods.
",2023-01-26,Computer Science - Artificial Intelligence,http://arxiv.org/abs/1304.2357
"Superconvergence Using Pointwise Interpolation in Convection-Diffusion
  Problems","  Considering a singularly perturbed convection-diffusion problem, we present
an analysis for a superconvergence result using pointwise interpolation of
Gau{\ss}-Lobatto type for higher-order streamline diffusion FEM.
  We show a useful connection between two different types of interpolation,
namely a vertex-edge-cell interpolant and a pointwise interpolant. Moreover,
different postprocessing operators are analysed and applied to model problems.
",2023-03-06,Mathematics - Numerical Analysis,http://arxiv.org/abs/1304.7443
"Computing Solution Operators of Boundary-value Problems for Some Linear
  Hyperbolic Systems of PDEs","  We discuss possibilities of application of Numerical Analysis methods to
proving computability, in the sense of the TTE approach, of solution operators
of boundary-value problems for systems of PDEs. We prove computability of the
solution operator for a symmetric hyperbolic system with computable real
coefficients and dissipative boundary conditions, and of the Cauchy problem for
the same system (we also prove computable dependence on the coefficients) in a
cube $Q\subseteq\mathbb R^m$. Such systems describe a wide variety of physical
processes (e.g. elasticity, acoustics, Maxwell equations). Moreover, many
boundary-value problems for the wave equation also can be reduced to this case,
thus we partially answer a question raised in Weihrauch and Zhong (2002).
Compared with most of other existing methods of proving computability for PDEs,
this method does not require existence of explicit solution formulas and is
thus applicable to a broader class of (systems of) equations.
",2023-06-22,Mathematics - Numerical Analysis,http://arxiv.org/abs/1305.2494
"Energy Efficient Transmission over Space Shift Keying Modulated MIMO
  Channels","  Energy-efficient communication using a class of spatial modulation (SM) that
encodes the source information entirely in the antenna indices is considered in
this paper. The energy-efficient modulation design is formulated as a convex
optimization problem, where minimum achievable average symbol power consumption
is derived with rate, performance, and hardware constraints. The theoretical
result bounds any modulation scheme of this class, and encompasses the existing
space shift keying (SSK), generalized SSK (GSSK), and Hamming code-aided SSK
(HSSK) schemes as special cases. The theoretical optimum is achieved by the
proposed practical energy-efficient HSSK (EE-HSSK) scheme that incorporates a
novel use of the Hamming code and Huffman code techniques in the alphabet and
bit-mapping designs. Experimental studies demonstrate that EE-HSSK
significantly outperforms existing schemes in achieving near-optimal energy
efficiency. An analytical exposition of key properties of the existing GSSK
(including SSK) modulation that motivates a fundamental consideration for the
proposed energy-efficient modulation design is also provided.
",2023-07-19,Computer Science - Information Theory,http://arxiv.org/abs/1305.5316
"The most controversial topics in Wikipedia: A multilingual and
  geographical analysis","  We present, visualize and analyse the similarities and differences between
the controversial topics related to ""edit wars"" identified in 10 different
language versions of Wikipedia. After a brief review of the related work we
describe the methods developed to locate, measure, and categorize the
controversial topics in the different languages. Visualizations of the degree
of overlap between the top 100 lists of most controversial articles in
different languages and the content related to geographical locations will be
presented. We discuss what the presented analysis and visualizations can tell
us about the multicultural aspects of Wikipedia and practices of
peer-production. Our results indicate that Wikipedia is more than just an
encyclopaedia; it is also a window into convergent and divergent social-spatial
priorities, interests and preferences.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1305.5566
Detecting Missing Method Calls as Violations of the Majority Rule,"  When using object-oriented frameworks it is easy to overlook certain
important method calls that are required at particular places in code. In this
paper, we provide a comprehensive set of empirical facts on this problem,
starting from traces of missing method calls in a bug repository. We propose a
new system that searches for missing method calls in software based on the
other method calls that are observable. Our key insight is that the voting
theory concept of majority rule holds for method calls: a call is likely to be
missing if there is a majority of similar pieces of code where this call is
present. The evaluation shows that the system predictions go further missing
method calls and often reveal different kinds of code smells (e.g. violations
of API best practices).
",2023-05-08,Computer Science - Software Engineering,http://arxiv.org/abs/1306.0762
